Library, PyQt5, Pyfirmata
Time [s], Voltage Pin A0 [V], Voltage Pin A1 [V], Umbral [V]
0.5, 4.477000, 3.284500, 4.500000
1.0, 4.482000, 3.284500, 4.500000
1.5, 4.477000, 3.284500, 4.500000
2.0, 4.482000, 3.284500, 4.500000
2.5, 4.482000, 3.289500, 4.500000
3.0, 4.477000, 3.279500, 4.500000
3.5, 4.482000, 3.284500, 4.500000
4.0, 4.482000, 3.289500, 4.500000
4.5, 4.477000, 3.284500, 4.500000
5.0, 4.477000, 3.284500, 4.500000
5.5, 4.472000, 3.274500, 4.500000
6.0, 4.477000, 3.284500, 4.500000
6.5, 4.477000, 3.284500, 4.500000
7.0, 4.482000, 3.289500, 4.500000
7.5, 4.477000, 3.284500, 4.500000
8.0, 4.482000, 3.289500, 4.500000
8.5, 4.482000, 3.279500, 4.500000
9.0, 4.482000, 3.284500, 4.500000
9.5, 4.467500, 3.279500, 4.500000
10.0, 4.477000, 3.289500, 4.500000
10.5, 4.482000, 3.284500, 4.500000
11.0, 4.482000, 3.284500, 4.500000
11.5, 4.477000, 3.284500, 4.500000
12.0, 4.477000, 3.284500, 4.500000
12.5, 4.477000, 3.284500, 4.500000
13.0, 4.477000, 3.284500, 4.500000
13.5, 4.487000, 3.289500, 4.500000
14.0, 4.482000, 3.284500, 4.500000
14.5, 4.487000, 3.284500, 4.500000
15.0, 4.477000, 3.284500, 4.499000
15.5, 4.477000, 3.284500, 4.497000
16.0, 4.482000, 3.289500, 4.495000
16.5, 4.482000, 3.284500, 4.493000
17.0, 4.477000, 3.284500, 4.491000
17.5, 4.487000, 3.289500, 4.489000
18.0, 4.482000, 3.284500, 4.486000
18.5, 4.482000, 3.284500, 4.485000
19.0, 4.487000, 3.289500, 4.484000
19.5, 4.482000, 3.289500, 4.484000
20.0, 4.482000, 3.284500, 4.484000
20.5, 4.487000, 3.284500, 4.484000
21.0, 4.477000, 3.284500, 4.484000
21.5, 4.482000, 3.284500, 4.484000
22.0, 4.482000, 3.284500, 4.484000
22.5, 4.477000, 3.284500, 4.484000
23.0, 4.487000, 3.289500, 4.484000
23.5, 4.477000, 3.284500, 4.484000
24.0, 4.482000, 3.289500, 4.484000
24.5, 4.482000, 3.289500, 4.484000
25.0, 4.477000, 3.284500, 4.484000
25.5, 4.482000, 3.284500, 4.484000
26.0, 4.482000, 3.289500, 4.484000
26.5, 4.477000, 3.284500, 4.484000
27.0, 4.477000, 3.284500, 4.483000
27.5, 4.477000, 3.284500, 4.483000
28.0, 4.477000, 3.284500, 4.483000
28.5, 4.482000, 3.289500, 4.483000
29.0, 4.477000, 3.284500, 4.483000
29.5, 4.482000, 3.289500, 4.483000
30.0, 4.482000, 3.284500, 4.483000
30.5, 4.482000, 3.284500, 4.483000
31.0, 4.482000, 3.279500, 4.483000
31.5, 4.482000, 3.284500, 4.483000
32.0, 4.482000, 3.279500, 4.483000
32.5, 4.482000, 3.284500, 4.483000
33.0, 4.477000, 3.284500, 4.483000
33.5, 4.491500, 3.294000, 4.483000
34.0, 4.482000, 3.289500, 4.483000
34.5, 4.482000, 3.284500, 4.483000
35.0, 4.482000, 3.284500, 4.483000
35.5, 4.477000, 3.284500, 4.483000
36.0, 4.477000, 3.274500, 4.483000
36.5, 4.477000, 3.284500, 4.483000
37.0, 4.477000, 3.284500, 4.483000
37.5, 4.482000, 3.284500, 4.483000
38.0, 4.482000, 3.284500, 4.483000
38.5, 4.477000, 3.284500, 4.483000
39.0, 4.482000, 3.284500, 4.483000
39.5, 4.482000, 3.284500, 4.483000
40.0, 4.482000, 3.289500, 4.483000
40.5, 4.482000, 3.284500, 4.483000
41.0, 4.482000, 3.289500, 4.483000
41.5, 4.477000, 3.284500, 4.483000
42.0, 4.482000, 2.082000, 4.483000
42.5, 4.477000, 5.000000, 4.483000
43.0, 4.472000, 5.000000, 4.483000
43.5, 4.477000, 5.000000, 4.483000
44.0, 4.467500, 5.000000, 4.483000
44.5, 4.477000, 5.000000, 4.483000
45.0, 4.482000, 5.000000, 4.483000
45.5, 4.472000, 5.000000, 4.483000
46.0, 4.477000, 5.000000, 4.483000
46.5, 4.477000, 5.000000, 4.483000
47.0, 4.477000, 5.000000, 4.483000
47.5, 4.477000, 5.000000, 4.483000
48.0, 4.477000, 5.000000, 4.483000
48.5, 4.477000, 5.000000, 4.483000
49.0, 4.472000, 5.000000, 4.483000
49.5, 4.477000, 5.000000, 4.483000
50.0, 4.472000, 5.000000, 4.483000
50.5, 4.482000, 5.000000, 4.483000
51.0, 4.472000, 5.000000, 4.483000
51.5, 4.477000, 5.000000, 4.483000
52.0, 4.477000, 5.000000, 4.483000
52.5, 4.477000, 5.000000, 4.483000
53.0, 4.477000, 5.000000, 4.483000
53.5, 4.477000, 5.000000, 4.483000
54.0, 4.477000, 5.000000, 4.483000
54.5, 4.477000, 5.000000, 4.483000
